Latitude, -0.393300250663
Dome Azm, Scope Ha, Scope Dec, Pier Side
268.000000,1.007836,-0.465307,pierWest
316.000000,1.454348,0.000656,pierWest
352.000000,1.248615,0.344171,pierWest
34.000000,0.717148,0.804933,pierWest
42.000000,0.062796,0.094057,pierWest
