Latitude, -0.393300250663
Dome Azm, Scope Ha, Scope Dec, Pier Side
164.000000,-0.083729,-0.613593,pierWest
194.000000,-0.933591,-1.353449,pierWest
206.000000,0.133364,-0.855981,pierWest
244.000000,1.795927,-0.919861,pierWest
